"subject" "activity" "NA"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 5 "standing"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 4 "sitting"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 6 "laying"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
1 1 "walking"
